,Country,Region,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
0,USA,USA Total,"337,392",719,"9,652",36,"309,763","1,019",29,"1,774,646","5,361"
1,USA, New York ,"123,018 ", ," 4,159 ", ," 106,672 ","6,271",212," 302,280 ","15,408"
2,USA, New Jersey ,"37,505 ", , 917 , ," 36,496 ","4,223",103," 82,166 ","9,251"
3,USA, Michigan ,"15,718 ", , 617 , ," 15,057 ","1,579",62," 45,748 ","4,594"
4,USA, California ,"15,201 ", 164 , 350 ,3 ," 13,951 ",388,9," 116,533 ","2,977"
5,USA, Louisiana ,"13,010 ", , 477 , ," 12,483 ","2,790",102," 60,325 ","12,935"
6,USA, Massachusetts ,"12,500 ", , 231 , ," 12,259 ","1,830",34," 71,937 ","10,532"
7,USA, Florida ,"12,350 ", , 221 , ," 12,029 ",600,11," 114,580 ","5,563"
8,USA, Pennsylvania ,"11,510 ", , 150 , ," 11,284 ",900,12," 77,771 ","6,080"
9,USA, Illinois ,"11,256 ", , 274 , ," 10,932 ",878,21," 58,983 ","4,600"
10,USA, Washington ,"7,984 ", , 338 , ," 7,022 ","1,095",46," 87,911 ","12,052"
11,USA, Texas ,"7,094 ", 49 , 137 ,4 ," 6,282 ",254,5," 70,938 ","2,544"
12,USA, Georgia ,"6,742 ", , 219 , ," 6,492 ",655,21," 27,832 ","2,703"
13,USA, Connecticut ,"5,675 ", , 189 , ," 5,436 ","1,585",53," 23,270 ","6,497"
14,USA, Colorado ,"4,950 ", , 140 , ," 4,770 ",895,25," 25,773 ","4,660"
15,USA, Indiana ,"4,411 ", , 127 , ," 4,270 ",665,19," 22,652 ","3,413"
16,USA, Maryland ,"4,045 ", 436 , 91 ,24 ," 3,795 ",674,15," 29,617 ","4,933"
17,USA, Ohio ,"4,043 ", , 119 , ," 3,924 ",347,10," 43,756 ","3,758"
18,USA, Tennessee ,"3,633 ", , 44 , ," 3,294 ",546,7," 45,300 ","6,811"
19,USA, North Carolina ,"2,677 ", 14 , 39 ,1 ," 2,552 ",264,4," 40,045 ","3,943"
20,USA, Virginia ,"2,637 ", , 51 , ," 2,584 ",313,6," 23,671 ","2,813"
21,USA, Missouri ,"2,367 ", , 52 ,3 ," 2,303 ",389,9," 27,173 ","4,462"
22,USA, Arizona ,"2,269 ", , 64 , ," 2,185 ",327,9," 27,410 ","3,946"
23,USA, Wisconsin ,"2,267 ", , 68 , ," 2,197 ",392,12," 25,971 ","4,495"
24,USA, South Carolina ,"2,049 ", , 44 , ," 2,005 ",413,9," 18,976 ","3,829"
25,USA, Alabama ,"1,842 ", 1 , 45 , ," 1,777 ",379,9," 13,078 ","2,688"
26,USA, Nevada ,"1,836 ", , 46 , ," 1,754 ",628,16," 19,908 ","6,811"
27,USA, Mississippi ,"1,638 ", , 43 , ," 1,595 ",548,14," 7,218 ","2,415"
28,USA, Utah ,"1,605 ", , 8 , ," 1,586 ",527,3," 30,892 ","10,144"
29,USA, Oklahoma ,"1,252 ", ,  46 , , 823 ,320,12," 2,655 ",678
30,USA, Idaho ,"1,101 ", , 10 , ," 1,091 ",652,6," 10,261 ","6,079"
31,USA, Oregon ,"1,068 ", , 27 , ," 1,041 ",262,7," 20,624 ","5,052"
32,USA, District Of Columbia ,998 , , 22 , , 718 ,"1,458",32," 6,834 ","9,984"
33,USA, Kentucky ,955 , , 45 , , 604 ,215,10," 18,767 ","4,227"
34,USA, Minnesota ,935 , , 29 , , 455 ,169,5," 26,777 ","4,844"
35,USA, Rhode Island ,922 , , 25 , , 887 ,873,24," 8,102 ","7,668"
36,USA, Iowa ,868 , , 22 , , 778 ,277,7," 10,841 ","3,461"
37,USA, Arkansas ,853 , 16 , 16 , , 740 ,285,5," 11,780 ","3,939"
38,USA, Kansas ,747 , , 22 , , 725 ,257,8," 8,223 ","2,827"
39,USA, Delaware ,673 , , 14 , , 588 ,709,15," 6,994 ","7,366"
40,USA, New Hampshire ,669 , , 9 , , 513 ,498,7," 8,370 ","6,229"
41,USA, New Mexico ,624 , , 12 , , 558 ,298,6," 16,909 ","8,081"
42,USA, Vermont ,512 , , 22 , , 490 ,819,35," 6,582 ","10,532"
43,USA, Maine ,470 , , 10 , , 304 ,353,8," 6,544 ","4,910"
44,USA, Hawaii ,371  , , 4 , , 282 ,261,3," 13,314 ","9,363"
45,USA, Nebraska ,363 , , 8 , , 355 ,191,4," 5,933 ","3,115"
46,USA, West Virginia ,324 , , 3 , , 321 ,177,2," 8,838 ","4,832"
47,USA, Montana ,299 , 1 , 6 , , 261 ,287,6," 6,789 ","6,517"
48,USA, South Dakota ,240 , , 4 , , 152 ,278,5," 5,593 ","6,471"
49,USA, North Dakota ,207 , , 3 , , 141 ,275,4," 6,787 ","9,023"
50,USA, Wyoming ,200 , , , , 150 ,344,," 3,227 ","5,546"
51,USA, Alaska ,185 , , 6 , , 164 ,251,8," 6,284  ","8,509"
52,USA, Guam ,112 , , 4 , , 85 ,,, 605 ,
53,USA, Northern Mariana Islands ,8 , , 1 , , 7 ,,, 33 ,
54,USA, Puerto Rico ,513 , 38 , 21 ,1 , 488 ,151,6," 4,951 ","1,462"
55,USA, United States Virgin Islands ,42 , , 1 , , 7 ,,, 266 ,
56,USA, Wuhan Repatriated ,3 , , , , 3 ,,, 3 ,
57,USA, Diamond Princess Cruise ,46 , , , , 46 ,,, 46 ,
58,USA,Total:,"337,392",719,"9,652",36,"309,763","1,019",29,"1,774,646","5,361"
